road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
rural,4,0.0559,70,night,clear,True,True,afternoon,False,False,0,0.3214
rural,2,0.2674,35,daylight,clear,True,True,afternoon,True,True,7,0.3301
urban,2,0.1276,25,daylight,rainy,False,True,afternoon,False,False,2,0.2017
urban,5,0.2434,60,daylight,clear,True,True,morning,False,False,10,0.3318
urban,4,0.396,45,daylight,clear,False,True,evening,False,True,3,0.3911
urban,2,0.5197,45,daylight,clear,True,True,afternoon,False,True,8,0.2812
urban,2,0.319,35,daylight,clear,True,False,afternoon,False,True,7,0.214
highway,4,0.4827,45,daylight,clear,False,True,evening,False,False,1,0.4004
rural,5,0.1394,60,daylight,clear,False,True,morning,False,False,7,0.4098
urban,6,0.362,45,night,rainy,True,True,evening,False,False,7,0.4596
highway,1,0.1527,45,night,clear,True,True,evening,False,False,4,0.4051
rural,4,0.3295,25,daylight,clear,True,True,morning,False,True,0,0.1911
rural,6,0.1927,35,daylight,clear,False,True,afternoon,False,False,0,0.2695
urban,4,0.147,60,night,rainy,False,True,morning,False,False,2,0.3603
urban,4,0.3292,60,daylight,clear,True,True,afternoon,False,True,7,0.3717
highway,5,0.2818,45,night,clear,True,True,afternoon,False,True,10,0.4336
rural,5,0.1218,25,daylight,rainy,False,False,afternoon,False,False,2,0.2929
urban,6,0.3914,60,daylight,rainy,False,True,evening,False,False,0,0.3073
rural,4,0.1102,45,daylight,foggy,True,True,evening,False,False,3,0.3395
highway,2,0.0834,70,dim,clear,True,True,morning,False,True,10,0.3792
urban,1,0.1212,70,daylight,clear,True,True,evening,False,False,1,0.1912
rural,6,0.2043,35,daylight,foggy,True,True,afternoon,False,False,5,0.274
highway,3,0.4844,45,daylight,clear,False,True,afternoon,False,False,3,0.3515
urban,4,0.4041,45,daylight,clear,True,True,morning,False,True,3,0.2624
rural,4,0.1823,35,daylight,clear,True,True,morning,False,False,4,0.1803
rural,5,0.4382,35,daylight,rainy,True,True,afternoon,False,False,5,0.3467
rural,5,0.3623,70,daylight,clear,True,True,evening,False,True,2,0.4075
urban,3,0.5362,25,night,foggy,False,True,morning,False,True,1,0.3139
urban,6,0.201,60,daylight,clear,True,True,morning,False,False,3,0.195
rural,5,0.1779,60,daylight,clear,True,True,evening,False,True,9,0.4495
urban,5,0.2458,25,daylight,clear,False,True,afternoon,False,True,6,0.2672
urban,6,0.042,45,dim,clear,True,True,afternoon,False,True,3,0.1602
urban,2,0.289,35,daylight,clear,True,True,evening,True,False,0,0.2524
urban,1,0.3918,45,daylight,clear,True,True,afternoon,True,False,8,0.2656
highway,2,0.2252,45,daylight,clear,True,True,evening,False,False,3,0.3678
urban,4,0.3093,35,dim,clear,True,False,morning,False,True,0,0.2426
highway,2,0.2531,35,daylight,rainy,True,True,afternoon,False,True,6,0.4038
urban,6,0.1022,60,daylight,clear,True,True,afternoon,False,True,2,0.2314
rural,3,0.2053,25,night,rainy,True,False,afternoon,False,False,7,0.368
urban,2,0.1494,70,daylight,clear,True,True,morning,False,True,0,0.1464
rural,5,0.3282,60,daylight,rainy,True,True,afternoon,False,False,4,0.4143
rural,3,0.173,25,dim,foggy,True,True,afternoon,False,False,1,0.3142
urban,3,0.0581,45,dim,rainy,True,True,afternoon,True,False,10,0.3739
highway,4,0.4607,60,daylight,clear,True,True,morning,False,True,2,0.3618
urban,4,0.4224,60,dim,rainy,True,True,morning,False,True,8,0.3529
rural,5,0.0471,45,dim,rainy,True,False,evening,False,False,4,0.3978
highway,1,0.4432,35,dim,clear,True,True,morning,False,True,5,0.3577
highway,3,0.2667,45,daylight,rainy,False,True,evening,True,False,7,0.4714
highway,5,0.13,45,night,clear,False,True,afternoon,False,False,0,0.3578
urban,4,0.603,25,night,clear,True,True,afternoon,False,False,2,0.2882
urban,4,0.2449,35,daylight,clear,True,True,morning,False,False,1,0.111
urban,1,0.1491,25,daylight,clear,True,False,evening,False,False,8,0.1722
rural,3,0.0788,25,night,rainy,False,True,evening,False,False,8,0.4473
rural,3,0.2487,70,daylight,clear,False,True,afternoon,False,True,0,0.3757
urban,5,0.0738,60,night,rainy,False,True,evening,False,True,4,0.4402
rural,1,0.4652,70,daylight,clear,True,True,morning,False,True,8,0.3516
urban,2,0.0796,35,night,clear,False,True,afternoon,False,True,1,0.2516
urban,5,0.2516,35,dim,clear,False,True,evening,False,True,5,0.3684
rural,3,0.2027,60,night,clear,True,True,evening,False,False,9,0.4582
rural,5,0.2688,60,daylight,clear,True,True,morning,False,True,3,0.3046
highway,5,0.5373,60,night,clear,False,True,morning,False,True,10,0.518
urban,5,0.278,70,night,clear,True,False,evening,False,False,9,0.3566
rural,5,0.2529,35,dim,clear,True,True,evening,False,False,8,0.4084
urban,3,0.3511,70,daylight,clear,True,True,morning,False,True,6,0.277
urban,1,0.2106,45,daylight,clear,True,True,afternoon,False,False,2,0.1156
rural,1,0.0759,45,dim,clear,True,True,morning,False,False,2,0.2302
highway,4,0.162,70,daylight,foggy,False,True,morning,False,True,7,0.5016
urban,6,0.0759,35,night,clear,True,True,evening,False,True,3,0.321
urban,4,0.297,60,daylight,clear,True,True,evening,False,True,2,0.2177
rural,2,0.3754,45,daylight,rainy,True,False,afternoon,False,False,2,0.2803
urban,1,0.2298,35,daylight,clear,True,True,evening,True,False,1,0.1897
highway,5,0.4521,35,night,rainy,True,True,afternoon,False,False,1,0.3876
rural,6,0.4931,70,daylight,clear,True,True,morning,False,False,10,0.4443
urban,4,0.024,25,dim,rainy,True,False,afternoon,False,True,6,0.232
rural,5,0.2985,25,daylight,clear,True,True,morning,True,True,0,0.2456
rural,2,0.1078,60,daylight,rainy,True,True,afternoon,False,False,0,0.2154
urban,1,0.259,25,dim,clear,True,True,evening,False,False,0,0.2083
rural,3,0.4482,25,daylight,clear,True,True,afternoon,False,True,0,0.1905
urban,2,0.1022,60,night,clear,False,True,afternoon,False,False,7,0.2732
rural,3,0.4917,45,night,rainy,True,True,evening,False,False,5,0.4543
urban,1,0.6647,35,night,clear,True,True,morning,False,True,2,0.2252
highway,3,0.3945,60,daylight,foggy,False,False,morning,False,False,9,0.4583
urban,1,0.1587,35,dim,clear,True,True,morning,False,False,4,0.0824
urban,5,0.4994,60,dim,rainy,True,True,morning,False,True,4,0.3175
highway,2,0.1492,60,night,clear,False,True,evening,False,True,2,0.478
urban,5,0.1656,45,daylight,clear,True,True,evening,False,True,0,0.1855
urban,1,0.1012,25,night,clear,True,True,evening,False,False,4,0.2616
urban,1,0.2741,45,night,clear,False,True,morning,False,True,0,0.2697
urban,5,0.1864,25,night,foggy,True,True,afternoon,False,False,4,0.2942
highway,6,0.2009,45,daylight,rainy,True,False,evening,False,True,1,0.4344
rural,5,0.12,45,night,rainy,True,False,evening,False,True,6,0.4745
urban,5,0.1608,35,dim,clear,True,True,evening,True,False,8,0.3243
rural,2,0.1622,70,daylight,foggy,True,False,evening,False,False,10,0.5381
rural,2,0.1444,70,night,clear,True,True,evening,False,False,5,0.3972
highway,6,0.226,60,daylight,clear,True,True,afternoon,False,False,1,0.3378
urban,1,0.3835,45,dim,clear,True,False,morning,False,True,2,0.1034
rural,4,0.1086,45,daylight,clear,True,True,morning,False,True,8,0.2821
rural,5,0.1117,35,night,clear,True,True,evening,False,True,4,0.3843
rural,3,0.4687,70,daylight,clear,True,False,afternoon,False,False,3,0.3065
rural,3,0.1388,70,daylight,clear,True,True,evening,False,False,8,0.3913
urban,6,0.1037,60,daylight,rainy,True,True,afternoon,False,False,2,0.2329
rural,3,0.3156,70,daylight,clear,True,True,afternoon,False,False,7,0.4427
rural,6,0.2381,35,night,clear,True,True,afternoon,False,False,9,0.4199
highway,5,0.3813,60,daylight,clear,True,True,afternoon,False,False,7,0.3247
urban,4,0.2923,25,daylight,clear,True,True,evening,False,False,6,0.1815
rural,6,0.1857,60,daylight,rainy,True,True,afternoon,False,False,2,0.2848
highway,4,0.2578,35,night,clear,True,True,afternoon,False,False,6,0.3484
rural,6,0.5419,45,night,rainy,True,True,morning,True,False,4,0.536
highway,6,0.1268,45,daylight,clear,True,True,morning,False,False,3,0.2636
highway,2,0.0493,25,daylight,foggy,True,True,morning,False,True,8,0.3448
urban,4,0.5785,35,daylight,clear,False,True,evening,False,False,0,0.2734
rural,3,0.1641,35,daylight,clear,True,False,morning,False,False,3,0.2023
urban,3,0.251,45,dim,clear,False,True,evening,True,False,5,0.3791
rural,5,0.2199,70,daylight,clear,True,True,evening,False,True,6,0.4197
urban,2,0.2135,45,daylight,clear,True,True,afternoon,False,False,10,0.1945
rural,6,0.0295,35,night,clear,True,True,morning,False,False,10,0.4118
rural,1,0.1667,25,daylight,clear,True,False,afternoon,False,False,1,0.1799
urban,6,0.309,35,daylight,clear,True,True,afternoon,False,True,1,0.1035
urban,2,0.3683,35,dim,foggy,True,True,evening,False,False,5,0.3993
highway,1,0.165,45,night,clear,False,True,evening,False,False,4,0.4745
urban,6,0.6312,45,dim,rainy,False,True,afternoon,False,False,1,0.3977
urban,2,0.1195,35,daylight,clear,True,False,morning,False,False,2,0.1486
urban,4,0.3829,35,daylight,rainy,True,True,afternoon,False,True,0,0.1607
highway,2,0.4239,60,daylight,rainy,True,True,morning,False,True,3,0.3371
highway,5,0.2743,60,daylight,foggy,True,True,evening,False,False,9,0.5114
rural,1,0.5924,45,daylight,foggy,True,True,morning,True,True,9,0.4493
highway,4,0.4611,60,daylight,clear,True,True,evening,True,False,6,0.5005
urban,4,0.4659,45,night,clear,True,True,afternoon,False,False,0,0.2225
highway,2,0.5185,45,dim,rainy,True,False,afternoon,False,True,8,0.44
urban,4,0.2167,70,daylight,rainy,True,True,evening,False,False,2,0.3354
urban,3,0.3389,35,night,clear,True,False,morning,False,True,10,0.3759
urban,3,0.2427,35,dim,clear,True,True,afternoon,False,True,1,0.1348
rural,3,0.4419,25,dim,rainy,False,True,afternoon,True,False,2,0.4213
rural,2,0.47,60,dim,clear,False,True,morning,False,True,2,0.3896
urban,1,0.3048,25,daylight,clear,True,True,afternoon,False,True,7,0.2334
highway,2,0.6658,70,dim,clear,True,True,afternoon,False,False,1,0.372
urban,5,0.121,45,night,rainy,True,True,afternoon,False,False,10,0.4565
urban,4,0.2988,35,daylight,rainy,True,True,morning,False,False,7,0.3185
rural,3,0.0543,35,daylight,rainy,True,True,morning,True,True,7,0.3204
rural,2,0.1244,60,night,foggy,True,True,evening,False,True,2,0.3804
highway,2,0.112,70,daylight,clear,False,True,morning,False,True,9,0.5068
rural,4,0.0996,35,daylight,clear,True,True,morning,False,True,3,0.2575
rural,2,0.3175,45,daylight,clear,False,True,morning,False,False,1,0.2724
urban,3,0.3886,35,night,clear,False,True,afternoon,False,False,7,0.3853
rural,4,0.3,45,daylight,clear,False,True,morning,False,False,9,0.4666
highway,1,0.2018,25,daylight,rainy,True,True,morning,False,False,5,0.3356
urban,3,0.4108,45,daylight,clear,False,True,evening,False,True,8,0.3677
highway,5,0.2978,60,dim,rainy,True,True,evening,False,False,1,0.3827
rural,5,0.1202,60,daylight,rainy,True,True,evening,False,True,0,0.3271
urban,6,0.1069,45,daylight,clear,True,False,morning,True,True,1,0.1934
highway,6,0.4204,60,daylight,clear,True,True,morning,False,True,1,0.3414
rural,4,0.4865,60,dim,clear,False,True,evening,False,True,10,0.5003
urban,3,0.6325,45,night,clear,False,True,evening,True,False,4,0.4654
urban,6,0.2227,60,daylight,clear,True,True,afternoon,False,False,6,0.265
urban,3,0.1478,35,night,rainy,True,True,morning,False,False,2,0.2613
highway,3,0.3218,45,daylight,clear,False,True,afternoon,False,True,2,0.3172
rural,5,0.0976,45,daylight,clear,True,True,afternoon,True,True,2,0.2995
highway,4,0.05,45,dim,rainy,True,False,afternoon,False,False,6,0.3822
urban,5,0.4824,45,daylight,clear,True,True,afternoon,False,True,9,0.2531
urban,6,0.4016,35,night,clear,True,False,evening,False,True,6,0.3902
urban,2,0.2238,45,daylight,rainy,True,False,morning,False,True,8,0.3294
rural,6,0.1507,35,daylight,clear,True,True,afternoon,False,False,3,0.3227
highway,1,0.1049,70,daylight,clear,False,False,morning,False,True,6,0.4232
rural,5,0.195,70,daylight,foggy,True,True,morning,False,True,2,0.3621
urban,4,0.3316,70,daylight,clear,True,True,afternoon,False,True,4,0.2717
highway,5,0.1194,45,dim,clear,True,True,afternoon,False,True,0,0.2693
rural,2,0.2402,45,daylight,clear,True,True,morning,False,False,7,0.2872
urban,2,0.3799,35,daylight,clear,False,True,evening,False,True,0,0.2587
highway,2,0.4652,35,dim,clear,True,True,morning,False,True,8,0.3981
urban,2,0.0781,60,daylight,clear,True,True,afternoon,False,False,6,0.163
urban,1,0.0766,60,daylight,clear,True,True,morning,True,False,3,0.1651
urban,3,0.2135,45,daylight,foggy,True,True,afternoon,False,False,1,0.2354
rural,6,0.493,45,daylight,clear,True,False,afternoon,False,False,8,0.4028
urban,2,0.2346,25,daylight,foggy,True,True,morning,False,True,3,0.2149
urban,1,0.2362,70,daylight,clear,True,True,evening,False,False,5,0.2607
urban,5,0.2234,70,daylight,clear,False,True,afternoon,False,False,1,0.2109
rural,2,0.4247,45,daylight,clear,True,True,evening,False,False,1,0.2578
highway,5,0.4214,60,daylight,clear,True,True,morning,False,True,3,0.3186
rural,5,0.4351,25,daylight,clear,False,True,morning,True,True,6,0.4117
urban,4,0.1729,60,night,foggy,True,True,evening,False,False,7,0.4861
urban,1,0.2163,60,daylight,clear,True,True,afternoon,False,False,5,0.1531
urban,1,0.3108,35,dim,clear,True,True,morning,False,False,9,0.2898
urban,2,0.198,60,daylight,rainy,True,True,afternoon,False,True,1,0.1952
rural,2,0.3301,35,night,rainy,False,True,morning,False,False,9,0.4691
rural,2,0.1712,35,night,rainy,False,True,afternoon,False,False,9,0.4306
rural,1,0.4428,35,dim,foggy,True,True,evening,False,True,6,0.3984
rural,5,0.0842,45,night,clear,True,True,evening,False,True,6,0.412
urban,5,0.1906,35,dim,clear,True,True,afternoon,False,True,4,0.2155
urban,2,0.0501,60,night,clear,False,True,afternoon,False,False,6,0.3325
rural,5,0.1506,25,daylight,clear,True,True,morning,False,True,6,0.2221
urban,2,0.4839,45,daylight,rainy,True,True,evening,False,False,1,0.2889
urban,6,0.126,35,daylight,foggy,True,True,evening,False,True,10,0.4531
urban,3,0.0409,60,night,clear,True,True,morning,False,False,3,0.2269
urban,5,0.6863,35,daylight,rainy,True,True,evening,False,True,3,0.3669
urban,6,0.3892,60,daylight,clear,True,True,morning,False,True,5,0.3062
highway,1,0.4216,35,dim,foggy,False,True,afternoon,False,False,7,0.4951
highway,6,0.1572,35,dim,clear,True,True,evening,False,True,6,0.4961
urban,4,0.2196,25,daylight,foggy,True,True,morning,False,False,7,0.2915
urban,6,0.4132,25,daylight,clear,True,True,afternoon,False,False,5,0.2346
rural,6,0.3094,60,dim,clear,False,False,morning,False,False,0,0.438
urban,6,0.065,70,daylight,foggy,True,True,afternoon,False,True,7,0.2883
urban,1,0.5906,25,daylight,rainy,False,True,morning,False,True,6,0.3965
urban,1,0.2113,25,daylight,clear,True,False,afternoon,True,True,1,0.1616
urban,4,0.348,60,dim,clear,True,True,evening,False,False,1,0.2751
rural,2,0.2904,25,daylight,clear,False,True,morning,False,True,7,0.2917
highway,5,0.677,35,daylight,foggy,True,True,morning,False,True,0,0.3952
urban,1,0.5262,25,daylight,clear,True,False,morning,True,False,4,0.2173
urban,5,0.3767,45,dim,clear,True,True,evening,False,True,9,0.3736
urban,4,0.4128,35,daylight,clear,False,False,afternoon,True,True,0,0.2495
urban,6,0.0664,45,daylight,clear,True,False,evening,False,False,3,0.2096
highway,4,0.391,35,dim,clear,True,True,afternoon,False,True,3,0.3598
rural,5,0.6001,60,dim,clear,False,True,morning,False,False,7,0.5015
rural,5,0.0423,35,daylight,rainy,True,False,afternoon,False,False,1,0.2018
rural,4,0.2642,25,dim,clear,True,True,evening,False,True,7,0.4012
highway,2,0.7015,60,daylight,foggy,True,False,afternoon,False,False,10,0.5173
highway,5,0.1829,35,daylight,foggy,True,True,afternoon,True,True,8,0.4199
urban,3,0.4713,25,daylight,rainy,False,True,afternoon,False,True,9,0.3762
urban,6,0.7053,45,daylight,clear,True,True,evening,False,True,10,0.4229
rural,3,0.0521,60,night,clear,True,True,morning,False,True,10,0.4278
urban,5,0.1231,35,daylight,rainy,True,True,evening,False,False,8,0.3039
highway,1,0.1961,25,daylight,rainy,True,False,afternoon,False,False,10,0.3549
rural,4,0.3999,45,daylight,clear,True,True,evening,False,True,8,0.4516
highway,2,0.0481,35,night,clear,True,True,morning,False,True,1,0.2678
urban,3,0.3562,25,daylight,clear,True,True,morning,False,True,8,0.2145
highway,3,0.2603,35,dim,clear,True,True,morning,False,False,4,0.3961
urban,1,0.6274,70,night,foggy,True,True,afternoon,False,False,1,0.3169
highway,5,0.3394,25,daylight,clear,False,True,morning,False,True,9,0.4712
urban,1,0.269,70,daylight,clear,True,True,afternoon,True,False,9,0.2771
rural,2,0.0887,45,daylight,clear,True,True,afternoon,False,True,0,0.2008
rural,5,0.3115,35,daylight,clear,True,True,evening,False,False,0,0.3296
urban,3,0.229,35,daylight,clear,True,True,morning,True,False,2,0.2034
rural,3,0.1968,60,daylight,foggy,True,True,afternoon,True,True,9,0.4271
highway,4,0.2691,70,dim,clear,True,False,evening,False,False,4,0.446
urban,2,0.3566,45,daylight,rainy,False,True,afternoon,False,False,3,0.2758
rural,3,0.0151,35,night,rainy,True,True,afternoon,False,False,1,0.3327
urban,1,0.0806,45,night,clear,True,True,afternoon,False,False,10,0.2494
highway,3,0.2471,60,daylight,clear,True,True,afternoon,False,True,5,0.3494
rural,1,0.6773,45,daylight,rainy,True,True,afternoon,False,False,8,0.4003
urban,1,0.0808,25,daylight,clear,True,True,afternoon,True,False,9,0.2206
urban,6,0.3228,35,daylight,rainy,True,True,morning,False,True,1,0.2336
rural,6,0.3841,25,daylight,clear,True,True,afternoon,False,False,1,0.2854
urban,6,0.1929,60,daylight,clear,True,True,morning,False,False,3,0.2224
urban,5,0.3171,35,dim,foggy,True,True,afternoon,False,False,6,0.3601
rural,5,0.058,35,night,rainy,True,True,afternoon,False,False,2,0.3367
urban,3,0.4334,60,daylight,clear,True,True,morning,False,False,5,0.2979
urban,3,0.3417,70,dim,clear,True,True,morning,False,True,4,0.2471
rural,1,0.2587,45,daylight,rainy,True,True,morning,False,False,9,0.3379
urban,5,0.1349,35,dim,rainy,False,False,afternoon,False,False,2,0.181
urban,3,0.2194,35,daylight,clear,True,True,evening,False,True,9,0.3728
urban,5,0.1313,60,night,foggy,True,False,morning,False,True,9,0.4305
rural,2,0.0892,45,night,rainy,True,True,morning,False,False,4,0.3858
rural,1,0.3833,35,daylight,foggy,True,True,morning,False,False,6,0.3182
rural,6,0.1847,70,night,clear,True,False,evening,False,False,4,0.4525
urban,5,0.125,35,daylight,clear,True,False,morning,False,True,5,0.1553
urban,3,0.3011,25,dim,clear,True,False,afternoon,False,False,2,0.1256
urban,1,0.1709,35,daylight,rainy,True,True,morning,False,True,5,0.2917
urban,4,0.1052,25,dim,rainy,True,True,afternoon,False,True,0,0.2657
highway,1,0.2248,45,night,clear,True,True,morning,False,True,6,0.3854
urban,2,0.1601,45,dim,rainy,True,True,afternoon,False,False,7,0.2479
urban,1,0.3003,45,night,clear,True,True,morning,False,False,8,0.3635
urban,6,0.2114,35,night,clear,True,True,afternoon,False,False,9,0.3241
rural,6,0.1602,70,dim,clear,True,True,afternoon,True,False,8,0.3915
rural,5,0.3163,35,daylight,clear,True,True,morning,False,True,10,0.3378
rural,5,0.2622,45,night,rainy,False,True,morning,False,False,7,0.4853
highway,3,0.7925,60,dim,clear,True,True,afternoon,False,True,2,0.44
rural,3,0.2148,35,night,rainy,True,True,morning,False,False,4,0.361
urban,1,0.3805,70,daylight,clear,True,True,morning,True,False,5,0.2095
urban,6,0.3147,60,dim,rainy,True,True,evening,False,False,3,0.3527
rural,1,0.5224,35,dim,clear,True,True,morning,True,False,5,0.2782
rural,6,0.3499,45,daylight,clear,True,False,evening,True,False,4,0.3885
rural,1,0.7153,45,dim,rainy,True,True,morning,True,False,1,0.4004
rural,5,0.1151,70,daylight,clear,True,True,evening,False,False,5,0.3023
rural,5,0.2278,45,daylight,clear,False,True,afternoon,False,True,10,0.4238
highway,4,0.363,60,dim,foggy,True,False,evening,False,True,6,0.5423
rural,4,0.6898,35,dim,clear,True,True,morning,False,False,4,0.3507
rural,4,0.2743,35,dim,clear,False,False,morning,False,False,6,0.4232
urban,3,0.4327,45,daylight,rainy,True,True,afternoon,False,False,5,0.3046
rural,5,0.0885,60,daylight,rainy,True,True,morning,False,False,9,0.4291
highway,1,0.1989,35,daylight,rainy,True,True,afternoon,False,False,5,0.265
urban,1,0.4138,35,night,rainy,True,False,afternoon,False,False,4,0.3396
rural,4,0.267,70,daylight,clear,True,True,afternoon,False,False,10,0.3844
rural,3,0.2124,35,daylight,clear,False,False,afternoon,False,True,4,0.3501
urban,3,0.6919,35,daylight,clear,True,False,morning,True,False,0,0.1829
rural,4,0.1127,60,daylight,rainy,True,True,morning,True,False,8,0.3497
urban,1,0.138,25,daylight,clear,True,True,morning,False,False,3,0.158
highway,3,0.2545,25,daylight,clear,True,True,evening,False,False,4,0.2887
highway,6,0.2997,35,daylight,rainy,True,True,evening,False,False,1,0.2968
urban,6,0.2332,70,daylight,clear,True,True,afternoon,False,False,8,0.2486
urban,2,0.3179,45,daylight,clear,False,True,evening,False,False,9,0.3665
rural,6,0.4129,25,daylight,rainy,False,True,evening,False,True,9,0.5227
urban,4,0.4737,45,daylight,clear,True,True,morning,False,False,8,0.3099
urban,1,0.8873,35,daylight,clear,False,True,evening,False,False,2,0.3765
rural,2,0.3534,60,night,clear,False,False,afternoon,False,False,10,0.539
urban,5,0.3226,25,dim,rainy,True,True,afternoon,False,False,7,0.3625
urban,1,0.0511,35,daylight,rainy,False,True,evening,True,False,9,0.3124
highway,2,0.5646,70,daylight,foggy,True,True,afternoon,False,False,0,0.369
highway,5,0.2225,25,daylight,clear,False,True,evening,True,True,4,0.4997
rural,3,0.0729,45,daylight,clear,True,True,morning,True,False,1,0.1839
highway,1,0.525,45,daylight,rainy,False,True,afternoon,True,False,2,0.3992
urban,1,0.1558,35,night,foggy,True,True,evening,False,True,0,0.3551
urban,3,0.3733,45,dim,rainy,True,True,morning,False,False,10,0.3331
urban,1,0.1065,45,night,clear,True,False,afternoon,False,True,5,0.211
rural,4,0.4761,35,daylight,clear,True,True,morning,False,False,5,0.2932
highway,2,0.1671,45,night,clear,False,True,evening,False,False,4,0.4785
rural,5,0.165,60,dim,clear,True,True,morning,False,True,1,0.3089
highway,5,0.1017,70,dim,clear,True,True,afternoon,False,True,4,0.2575
rural,2,0.3613,45,night,foggy,True,True,morning,False,False,5,0.3503
urban,4,0.258,45,dim,foggy,True,True,afternoon,False,False,9,0.3669
urban,1,0.0782,45,daylight,foggy,True,True,morning,True,False,10,0.3469
urban,3,0.4054,60,daylight,clear,False,False,afternoon,False,False,8,0.348
urban,3,0.4176,60,daylight,clear,False,True,afternoon,False,False,5,0.3446
rural,1,0.111,25,dim,clear,True,False,morning,False,False,8,0.2962
urban,6,0.172,35,night,rainy,False,True,morning,False,True,6,0.361
rural,5,0.0723,35,night,rainy,False,True,evening,True,True,7,0.6135
rural,2,0.0255,25,daylight,foggy,False,False,evening,False,False,10,0.4088
urban,2,0.3637,35,daylight,clear,True,False,afternoon,False,False,4,0.1501
rural,5,0.6097,60,daylight,rainy,True,True,evening,False,False,2,0.3996
rural,2,0.1164,60,daylight,clear,True,True,afternoon,False,False,9,0.2755
urban,5,0.4565,35,daylight,clear,True,True,evening,False,False,9,0.3616
highway,4,0.2577,35,night,rainy,True,True,morning,False,True,4,0.4015
rural,1,0.0825,45,daylight,clear,False,True,morning,False,True,8,0.3363
rural,5,0.0914,25,daylight,rainy,True,True,afternoon,False,False,7,0.262
highway,4,0.5929,45,night,rainy,True,True,evening,False,True,5,0.5178
highway,5,0.2744,45,dim,clear,True,True,afternoon,False,False,9,0.4376
highway,4,0.3857,60,daylight,clear,True,True,afternoon,True,True,7,0.4656
urban,4,0.2811,45,dim,clear,False,True,morning,True,True,4,0.2863
urban,4,0.3555,45,dim,clear,True,True,morning,False,True,2,0.2778
urban,1,0.2247,45,daylight,clear,True,True,afternoon,False,True,1,0.1104
urban,5,0.1918,35,dim,rainy,True,True,evening,False,True,0,0.3285
highway,6,0.2856,60,night,foggy,True,True,morning,False,False,3,0.4948
rural,5,0.1637,70,daylight,clear,True,True,afternoon,False,False,10,0.3528
urban,5,0.2817,70,night,clear,True,True,evening,False,False,9,0.4116
urban,4,0.4745,25,daylight,foggy,True,True,afternoon,False,False,3,0.2144
urban,2,0.4454,70,daylight,clear,True,True,morning,False,True,8,0.273
rural,2,0.1359,70,dim,clear,True,False,afternoon,False,True,7,0.3467
rural,5,0.5358,45,dim,rainy,True,True,afternoon,False,False,5,0.3879
highway,2,0.6615,70,daylight,rainy,True,True,evening,False,False,8,0.5667
highway,6,0.435,35,daylight,clear,True,False,evening,False,False,10,0.4188
urban,2,0.0765,25,daylight,clear,True,True,morning,False,False,7,0.111
urban,2,0.5384,35,daylight,rainy,True,True,afternoon,False,True,3,0.183
urban,4,0.0973,25,daylight,clear,True,False,afternoon,True,False,2,0.1647
urban,5,0.2822,25,daylight,clear,True,True,evening,False,False,9,0.2887
highway,6,0.6827,25,daylight,clear,True,False,morning,False,False,10,0.3727
rural,6,0.6024,25,night,rainy,True,True,morning,False,False,10,0.4705
rural,5,0.2202,45,night,clear,True,True,evening,False,False,10,0.4881
rural,6,0.5749,35,daylight,clear,False,True,morning,False,False,6,0.4151
urban,3,0.5945,45,daylight,clear,True,True,afternoon,False,False,4,0.2826
urban,3,0.2189,45,daylight,rainy,False,True,afternoon,False,False,1,0.1981
rural,2,0.6329,45,dim,foggy,False,True,afternoon,False,False,7,0.5212
rural,5,0.3861,35,night,rainy,False,False,morning,False,False,10,0.5542
urban,2,0.0829,45,night,clear,True,True,afternoon,False,False,6,0.2181
rural,4,0.4055,45,daylight,foggy,False,False,evening,False,False,6,0.5241
highway,5,0.3015,45,night,clear,True,True,morning,False,True,1,0.2702
urban,6,0.5982,25,dim,rainy,False,True,morning,False,False,5,0.363
rural,4,0.3637,45,daylight,clear,True,True,afternoon,False,False,10,0.3634
urban,4,0.0255,60,daylight,clear,True,True,morning,True,False,5,0.295
rural,5,0.4125,35,daylight,rainy,True,False,afternoon,False,False,9,0.3839
rural,2,0.4258,35,daylight,clear,True,False,evening,False,False,3,0.285
highway,3,0.5171,45,daylight,clear,True,True,afternoon,False,False,8,0.2985
urban,2,0.146,45,daylight,clear,False,True,morning,False,False,10,0.2681
urban,3,0.3522,70,daylight,clear,True,True,morning,False,False,1,0.2088
urban,1,0.3039,35,daylight,rainy,True,True,afternoon,False,False,1,0.206
urban,3,0.2972,25,night,clear,False,True,afternoon,False,False,6,0.3237
rural,5,0.0419,25,night,rainy,True,True,afternoon,False,False,7,0.3746
highway,3,0.0319,60,night,rainy,True,True,morning,False,False,2,0.4162
urban,1,0.1038,35,daylight,foggy,True,True,morning,False,True,7,0.3043
urban,6,0.2504,45,daylight,rainy,True,True,evening,False,False,7,0.3447
urban,6,0.2248,35,daylight,clear,True,True,evening,False,False,8,0.2152
rural,3,0.1966,45,daylight,clear,True,True,afternoon,False,True,7,0.3703
urban,2,0.2527,45,night,clear,True,True,morning,False,True,1,0.2603
urban,3,0.1817,35,night,clear,True,True,morning,False,False,5,0.2404
rural,5,0.3782,35,dim,clear,True,True,evening,False,False,4,0.3944
urban,5,0.7183,45,daylight,clear,True,True,afternoon,False,False,5,0.3024
